account_id,customer_code,product_type,open_date,maturity_date,term_months,interest_rate,status,channel_opened,currency,current_balance
ACC_X_000044_01,X_000044,demand_saving,2024-09-07,,0,0.05798,closed,mobile/internet,VND,-4393858937
ACC_X_000044_02,X_000044,term_saving,2024-03-24,2024-09-20,6,0.06622,closed,mobile/internet,VND,-6713317034
ACC_X_000044_03,X_000044,term_saving,2023-04-20,2023-10-17,6,0.04856,active,branch,VND,-9475740491
ACC_X_000044_04,X_000044,demand_saving,2023-09-16,,0,0.03984,active,atm,VND,-4319070609
ACC_X_000044_05,X_000044,term_saving,2023-05-31,2025-05-20,24,0.03456,active,branch,VND,12970735586
ACC_Z_000124_01,Z_000124,demand_saving,2024-12-22,,0,0.06421,active,branch,USD,659595729
ACC_X_000053_01,X_000053,term_saving,2023-03-08,2024-03-02,12,0.04598,active,mobile/internet,VND,-7155791118
ACC_X_000053_02,X_000053,demand_saving,2024-09-21,,0,0.04892,active,atm,VND,-2918935479
ACC_X_000053_03,X_000053,term_saving,2024-07-20,2025-01-16,6,0.06004,active,mobile/internet,USD,8212323484
ACC_X_000092_01,X_000092,demand_saving,2023-02-08,,0,0.04531,active,branch,VND,-4376783855
ACC_X_000092_02,X_000092,term_saving,2023-06-10,2025-05-30,24,0.05788,active,branch,VND,12871565651
ACC_X_000092_03,X_000092,term_saving,2024-09-04,2025-03-03,6,0.04286,active,atm,VND,16071211805
ACC_X_000092_04,X_000092,term_saving,2023-05-21,2024-02-15,9,0.0303,active,atm,VND,-7681650276
ACC_X_000092_05,X_000092,term_saving,2023-01-13,2023-07-12,6,0.06126,active,branch,VND,-8437400020
ACC_Z_000060_01,Z_000060,term_saving,2023-01-15,2023-02-14,1,0.05488,active,mobile/internet,VND,-426687249
ACC_Z_000060_02,Z_000060,demand_saving,2023-07-10,,0,0.08095,active,atm,VND,635810134
ACC_Z_000150_01,Z_000150,demand_saving,2024-07-01,,0,0.09711,active,mobile/internet,VND,784071369
ACC_Z_000150_02,Z_000150,demand_saving,2023-06-21,,0,0.0681,suspend,mobile/internet,USD,526954559
ACC_Z_000379_01,Z_000379,demand_saving,2024-09-15,,0,0.08022,active,mobile/internet,USD,728267511
ACC_X_000146_01,X_000146,demand_saving,2023-12-22,,0,0.06277,active,mobile/internet,VND,-4232699099
ACC_X_000146_02,X_000146,term_saving,2024-05-06,2026-04-26,24,0.04508,active,mobile/internet,VND,12657374644
ACC_X_000146_03,X_000146,demand_saving,2024-12-14,,0,0.05044,active,branch,VND,23141458136
ACC_Y_000143_01,Y_000143,term_saving,2023-06-30,2023-09-28,3,0.03209,active,mobile/internet,VND,-1717951962
ACC_Y_000143_02,Y_000143,demand_saving,2023-02-10,,0,0.03721,active,branch,VND,3575442425
ACC_Y_000143_03,Y_000143,demand_saving,2023-10-30,,0,0.03424,closed,branch,VND,2405264369
ACC_Z_000130_01,Z_000130,term_saving,2024-09-12,2024-12-11,3,0.07658,active,atm,VND,826685422
ACC_Y_000125_01,Y_000125,demand_saving,2024-09-17,,0,0.06736,active,mobile/internet,VND,4391381251
ACC_Y_000125_02,Y_000125,demand_saving,2024-06-25,,0,0.03726,active,mobile/internet,VND,4219735174
