customer_code,full_name,gender,dob,city,marital_status,nationality,occupation,income_range,income_currency,source_of_income,status,customer_segment
X_000044,Đặng Văn Giang,Nam,1987-10-08 21:50:13.458010,Gia Lai,Độc thân,Việt Nam,Quản lý / chuyên gia,20-50 triệu,VND,Kinh doanh,Active,X
Z_000124,Hoàng Văn Em,Nam,2002-10-04 21:50:13.458010,Hải Dương,Kết hôn,Việt Nam,"Khác (sinh viên, nội trợ…)",<10 triệu,VND,Khác,Active,Z
X_000053,Trần Văn Bình,Nam,1993-10-06 21:50:13.458010,Bình Định,Kết hôn,Việt Nam,Kinh doanh cá thể,>50 triệu,VND,Kinh doanh,Active,X
X_000092,Tôn Thị Rồng,Nữ,1989-10-07 21:50:13.458010,Hà Nội,Độc thân,Việt Nam,Kinh doanh cá thể,>50 triệu,VND,Kinh doanh,Closed,X
Z_000060,Phạm Thị Dũng,Nữ,1954-10-16 21:50:13.458010,Hà Nội,Kết hôn,Việt Nam,"Khác (sinh viên, nội trợ…)",<10 triệu,VND,Khác,Inactive,Z
Z_000150,Đinh Thị Quang,Nữ,2003-10-04 21:50:13.458010,Kiên Giang,Độc thân,Việt Nam,"Khác (sinh viên, nội trợ…)",<10 triệu,VND,Khác,Closed,Z
Z_000379,Đặng Thị Giang,Nữ,1965-10-13 21:50:13.458010,Bình Định,Độc thân,Nước ngoài,"Khác (sinh viên, nội trợ…)",<10 triệu,VND,Lương,Closed,Z
X_000146,Hoàng Văn Em,Nam,2000-10-04 21:50:13.458010,Quảng Nam,Kết hôn,Việt Nam,Kinh doanh cá thể,20-50 triệu,VND,Kinh doanh,Active,X
Y_000143,Hồ Thị Khoa,Nữ,1977-10-10 21:50:13.458010,An Giang,Kết hôn,Việt Nam,Công nhân / lao động phổ thông,10-20 triệu,VND,Kinh doanh,Active,Y
Z_000130,Tôn Văn Rồng,Nam,1953-10-16 21:50:13.458010,Quảng Bình,Độc thân,Việt Nam,Công nhân / lao động phổ thông,10-20 triệu,VND,Khác,Inactive,Z
Y_000125,Lưu Thị Sơn,Nữ,2000-10-04 21:50:13.458010,Hà Nam,Kết hôn,Việt Nam,Công nhân / lao động phổ thông,10-20 triệu,VND,Lương,Active,Y
Z_000176,Hồ Văn Khoa,Nam,1946-10-18 21:50:13.458010,Hà Nam,Kết hôn,Việt Nam,"Khác (sinh viên, nội trợ…)",<10 triệu,VND,Lương,Active,Z
Y_000100,Tôn Văn Rồng,Nam,1994-10-06 21:50:13.458010,Đồng Tháp,Kết hôn,Việt Nam,Công nhân / lao động phổ thông,20-50 triệu,VND,Lương,Active,Y
Y_000066,Dương Thị Minh,Nữ,2005-10-03 21:50:13.459040,Đà Nẵng,Kết hôn,Việt Nam,Công nhân / lao động phổ thông,10-20 triệu,VND,Kinh doanh,Active,Y
Z_000449,Phan Thị Oanh,Nữ,1966-10-13 21:50:13.459040,Phú Thọ,Kết hôn,Việt Nam,"Khác (sinh viên, nội trợ…)",<10 triệu,VND,Lương,Active,Z
