account_id,customer_code,product_type,open_date,maturity_date,term_months,interest_rate,status,channel_opened,currency,current_balance
ACC_X_000001_01,X_000001,term_saving,2024-11-18,2026-11-08,24,0.06336,active,atm,VND,3934177438.0
ACC_X_000001_02,X_000001,term_saving,2023-01-25,2026-01-09,36,0.07349,active,branch,VND,2079959354.0
ACC_X_000001_03,X_000001,term_saving,2023-12-29,2026-12-13,36,0.07178,active,branch,VND,4103852661.0
ACC_X_000001_04,X_000001,term_saving,2024-03-21,2025-03-16,12,0.05009,suspend,atm,VND,3421557507.0
ACC_X_000001_05,X_000001,term_saving,2024-06-05,2026-05-26,24,0.06242,closed,mobile/internet,VND,2348007977.0
ACC_X_000002_01,X_000002,term_saving,2023-03-26,2026-03-10,36,0.07109,active,branch,USD,3803969069.0
ACC_X_000002_02,X_000002,term_saving,2024-03-10,2025-03-05,12,0.05974,active,mobile/internet,VND,2997800443.0
ACC_X_000002_03,X_000002,term_saving,2024-08-24,2026-08-14,24,0.06203,active,atm,VND,1686923618.0
ACC_X_000002_04,X_000002,term_saving,2023-08-07,2025-07-27,24,0.06456,active,branch,VND,2795879826.0
ACC_X_000003_01,X_000003,term_saving,2024-11-29,2026-11-19,24,0.06458,active,mobile/internet,VND,5320058555.0
ACC_X_000003_02,X_000003,term_saving,2023-02-16,2025-02-05,24,0.06401,active,mobile/internet,VND,5240768537.0
ACC_X_000003_03,X_000003,demand_saving,2024-08-17,,0,0.00228,active,atm,VND,5426546046.0
ACC_X_000004_01,X_000004,term_saving,2023-08-16,2026-07-31,36,0.06994,active,branch,VND,7613502957.0
ACC_X_000004_02,X_000004,term_saving,2023-08-11,2024-08-05,12,0.05464,active,mobile/internet,VND,7811416887.0
ACC_X_000005_01,X_000005,term_saving,2023-07-31,2024-07-25,12,0.05398,active,mobile/internet,USD,7235139583.0
ACC_X_000005_02,X_000005,term_saving,2024-09-21,2026-09-11,24,0.06849,active,mobile/internet,VND,7506047098.0
ACC_X_000006_01,X_000006,term_saving,2024-04-30,2025-04-25,12,0.05119,active,atm,VND,2286749532.0
ACC_X_000006_02,X_000006,term_saving,2023-06-30,2025-06-19,24,0.06508,active,mobile/internet,VND,3268660624.0
ACC_X_000006_03,X_000006,term_saving,2023-10-21,2026-10-05,36,0.07405,active,branch,EUR,2741817358.0
ACC_X_000006_04,X_000006,term_saving,2024-02-08,2025-02-02,12,0.05092,active,atm,USD,3086993275.0
ACC_X_000006_05,X_000006,term_saving,2024-11-03,2026-10-24,24,0.06655,closed,atm,EUR,3746989226.0
ACC_X_000007_01,X_000007,term_saving,2024-10-04,2027-09-19,36,0.07327,active,mobile/internet,VND,2646055299.0
ACC_X_000007_02,X_000007,term_saving,2024-01-13,2026-01-02,24,0.06047,active,atm,VND,3086514355.0
ACC_X_000007_03,X_000007,term_saving,2023-04-20,2025-04-09,24,0.06182,active,mobile/internet,VND,6688213818.0
ACC_X_000007_04,X_000007,demand_saving,2023-02-06,,0,0.0041,closed,atm,VND,3235967808.0
ACC_X_000008_01,X_000008,term_saving,2023-01-05,2024-12-25,24,0.0616,closed,mobile/internet,VND,2686717699.0
ACC_X_000008_02,X_000008,term_saving,2024-01-12,2025-01-06,12,0.05949,active,atm,VND,2960991167.0
ACC_X_000008_03,X_000008,term_saving,2023-05-11,2026-04-25,36,0.07458,active,mobile/internet,VND,3287713104.0
ACC_X_000008_04,X_000008,term_saving,2023-02-08,2025-01-28,24,0.06385,active,branch,VND,2841734242.0
ACC_X_000008_05,X_000008,term_saving,2023-06-25,2024-06-19,12,0.05675,active,branch,USD,2173046451.0
ACC_X_000009_01,X_000009,term_saving,2024-03-12,2027-02-25,36,0.06763,active,branch,VND,6238077419.0
ACC_X_000009_02,X_000009,demand_saving,2024-06-24,,0,0.0002,active,mobile/internet,VND,7001787751.0
ACC_X_000010_01,X_000010,term_saving,2023-10-18,2025-10-07,24,0.06672,active,mobile/internet,USD,3863337568.0
ACC_X_000010_02,X_000010,term_saving,2023-12-09,2025-11-28,24,0.06778,active,atm,EUR,5403468318.0
ACC_X_000010_03,X_000010,term_saving,2023-03-12,2026-02-24,36,0.06611,active,branch,VND,3918807058.0
ACC_X_000011_01,X_000011,demand_saving,2024-03-07,,0,0.00284,suspend,branch,VND,4079564954.0
ACC_X_000011_02,X_000011,term_saving,2024-04-19,2026-04-09,24,0.06305,active,mobile/internet,VND,4509185709.0
ACC_X_000011_03,X_000011,demand_saving,2023-05-27,,0,0.00011,active,atm,EUR,5237538169.0
ACC_X_000012_01,X_000012,term_saving,2024-09-03,2026-08-24,24,0.06881,active,branch,VND,1730819742.0
ACC_X_000012_02,X_000012,term_saving,2024-06-08,2027-05-24,36,0.07262,active,mobile/internet,VND,2643010135.0
ACC_X_000012_03,X_000012,term_saving,2024-11-23,2026-11-13,24,0.0687,active,mobile/internet,VND,3060308938.0
ACC_X_000012_04,X_000012,term_saving,2023-10-17,2024-10-11,12,0.05599,active,atm,VND,2899048514.0
ACC_X_000012_05,X_000012,demand_saving,2024-01-08,,0,0.0034,active,atm,VND,2789388730.0
ACC_X_000013_01,X_000013,demand_saving,2024-11-23,,0,0.00276,active,atm,VND,2263431273.0
ACC_X_000013_02,X_000013,demand_saving,2023-01-03,,0,0.00354,closed,branch,USD,3394994740.0
ACC_X_000013_03,X_000013,term_saving,2023-04-18,2026-04-02,36,0.0669,suspend,branch,VND,3672464148.0
ACC_X_000013_04,X_000013,term_saving,2024-06-07,2025-06-02,12,0.05594,active,mobile/internet,VND,2759798723.0
ACC_X_000013_05,X_000013,term_saving,2023-08-24,2025-08-13,24,0.06717,active,atm,VND,2023564536.0
ACC_X_000014_01,X_000014,term_saving,2023-06-11,2025-05-31,24,0.06976,active,atm,VND,2365110087.0
ACC_X_000014_02,X_000014,term_saving,2023-04-02,2026-03-17,36,0.07338,active,atm,VND,3630623274.0
ACC_X_000014_03,X_000014,term_saving,2023-11-14,2026-10-29,36,0.06617,active,branch,VND,2671393801.0
ACC_X_000014_04,X_000014,term_saving,2023-03-20,2026-03-04,36,0.07155,active,mobile/internet,VND,2227381213.0
ACC_X_000014_05,X_000014,term_saving,2023-02-16,2025-02-05,24,0.06886,active,mobile/internet,VND,2784574130.0
ACC_X_000015_01,X_000015,term_saving,2024-06-29,2026-06-19,24,0.06367,active,atm,VND,3104437349.0
ACC_X_000015_02,X_000015,term_saving,2024-03-07,2027-02-20,36,0.06891,suspend,branch,VND,4431587463.0
ACC_X_000015_03,X_000015,term_saving,2024-06-15,2026-06-05,24,0.06583,active,branch,VND,3318081537.0
ACC_X_000015_04,X_000015,demand_saving,2024-07-03,,0,0.00095,active,mobile/internet,VND,3499770842.0
ACC_X_000016_01,X_000016,term_saving,2023-07-14,2026-06-28,36,0.07045,active,atm,VND,3772190752.0
ACC_X_000016_02,X_000016,term_saving,2024-04-16,2027-04-01,36,0.07055,active,atm,VND,3690472115.0
ACC_X_000016_03,X_000016,demand_saving,2024-10-16,,0,0.00269,active,mobile/internet,VND,4570660543.0
ACC_X_000017_01,X_000017,term_saving,2024-02-18,2025-02-12,12,0.05142,active,branch,VND,2603309317.0
ACC_X_000017_02,X_000017,term_saving,2023-08-23,2026-08-07,36,0.06675,active,atm,VND,2763990921.0
ACC_X_000017_03,X_000017,term_saving,2023-10-10,2024-10-04,12,0.05212,active,atm,VND,3669229559.0
ACC_X_000017_04,X_000017,term_saving,2024-09-14,2026-09-04,24,0.06381,active,atm,VND,3976334225.0
ACC_X_000017_05,X_000017,term_saving,2023-12-11,2024-12-05,12,0.05621,active,atm,VND,2006865752.0
ACC_X_000018_01,X_000018,term_saving,2023-08-05,2024-07-30,12,0.05458,active,atm,VND,3390315361.0
ACC_X_000018_02,X_000018,term_saving,2023-10-22,2024-10-16,12,0.05076,active,mobile/internet,VND,3640131159.0
ACC_X_000018_03,X_000018,demand_saving,2023-10-28,,0,0.0039,active,branch,VND,4637417244.0
ACC_X_000018_04,X_000018,term_saving,2023-11-21,2026-11-05,36,0.06902,active,atm,VND,3043123728.0
ACC_X_000019_01,X_000019,term_saving,2024-12-22,2027-12-07,36,0.06659,closed,mobile/internet,VND,3761597446.0
ACC_X_000019_02,X_000019,term_saving,2024-02-13,2025-02-07,12,0.05249,active,branch,VND,4002513089.0
ACC_X_000019_03,X_000019,demand_saving,2024-01-26,,0,0.00391,active,mobile/internet,VND,4092940464.0
ACC_X_000020_01,X_000020,term_saving,2023-11-08,2024-11-02,12,0.05885,active,atm,VND,7536907123.0
ACC_X_000020_02,X_000020,term_saving,2024-07-18,2026-07-08,24,0.06616,active,branch,VND,6689161192.0
ACC_X_000021_01,X_000021,term_saving,2023-11-08,2026-10-23,36,0.06611,active,branch,USD,8432013244.0
ACC_X_000021_02,X_000021,term_saving,2023-02-19,2024-02-14,12,0.05613,active,atm,VND,7381332798.0
ACC_X_000022_01,X_000022,term_saving,2023-12-06,2025-11-25,24,0.06325,active,mobile/internet,VND,3471208142.0
ACC_X_000022_02,X_000022,term_saving,2023-10-27,2026-10-11,36,0.06917,active,mobile/internet,VND,4484673226.0
ACC_X_000022_03,X_000022,term_saving,2024-10-26,2027-10-11,36,0.07355,closed,atm,VND,4984535850.0
ACC_X_000022_04,X_000022,term_saving,2023-12-21,2024-12-15,12,0.05009,active,branch,VND,3521732038.0
