tran_id,card_id,card_number,customer_code,card_type,tran_amt_acy,tran_amt_lcy,tran_currency,cr_dr,tran_date,tran_type,tran_type_name,tran_desc,merchant_id,merchant_name,tran_status
TXN_CARD_A_000001_01_000001,CARD_A_000001_01,****-****-****-7756,A_000001,CREDIT,23865794.42,23865794.42,VND,DR,2025-09-11,ONLINE PAYMENT,Payment From Wallet,Payment From Domino's Pizza Wallet,MERCH_96522,Domino's Pizza,posted
TXN_CARD_A_000001_01_000002,CARD_A_000001_01,****-****-****-7756,A_000001,CREDIT,48165328.13,48165328.13,VND,DR,2025-09-19,ONLINE PAYMENT,Repost Retail,Cong Coffee Retail Payment,MERCH_27651,Cong Coffee,posted
TXN_CARD_A_000001_01_000003,CARD_A_000001_01,****-****-****-7756,A_000001,CREDIT,49573973.54,49573973.54,VND,DR,2025-09-28,OTHER,Note Acceptance,Note Acceptance at Metro,MERCH_69093,Metro,posted
TXN_CARD_A_000001_02_000001,CARD_A_000001_02,****-****-****-5401,A_000001,CREDIT,62200785.86,62200785.86,VND,DR,2021-02-14,ATM/POS,ATM 2Prs,ATM Transaction at FPT Shop,MERCH_46680,FPT Shop,posted
TXN_CARD_A_000001_02_000002,CARD_A_000001_02,****-****-****-5401,A_000001,CREDIT,40718380.26,1017959506.5,USD,DR,2021-07-24,ATM/POS,ATM,ATM Withdrawal at Koi Thé,MERCH_72312,Koi Thé,posted
TXN_CARD_A_000001_02_000003,CARD_A_000001_02,****-****-****-5401,A_000001,CREDIT,43741557.78,43741557.78,VND,DR,2021-09-24,ONLINE PAYMENT,Repost Retail,Lotteria Retail Payment,MERCH_87387,Lotteria,posted
TXN_CARD_A_000001_02_000004,CARD_A_000001_02,****-****-****-5401,A_000001,CREDIT,91751915.25,91751915.25,VND,CR,2021-10-31,CASHBACK,Cash Back,Cash Back from Highlands Coffee,MERCH_46334,Highlands Coffee,posted
TXN_CARD_A_000001_02_000005,CARD_A_000001_02,****-****-****-5401,A_000001,CREDIT,59003623.0,59003623.0,VND,DR,2023-07-19,ONLINE PAYMENT,Payment to Wallet,Payment to 7-Eleven Wallet,MERCH_16011,7-Eleven,decline service
TXN_CARD_A_000001_02_000006,CARD_A_000001_02,****-****-****-5401,A_000001,CREDIT,81112108.08,81112108.08,VND,DR,2025-09-18,ATM/POS,ATM 2Prs,ATM Transaction at FamilyMart,MERCH_37365,FamilyMart,posted
TXN_CARD_A_000002_01_000001,CARD_A_000002_01,****-****-****-7941,A_000002,CREDIT,92332999.58,92332999.58,VND,DR,2024-02-17,ONLINE PAYMENT,Payment To Repost,Payment To Trung Nguyen Coffee Repost,MERCH_39925,Trung Nguyen Coffee,posted
TXN_CARD_A_000002_01_000002,CARD_A_000002_01,****-****-****-7941,A_000002,CREDIT,95668756.32,95668756.32,VND,DR,2025-09-04,ONLINE PAYMENT,Payment From Wallet,Payment From Other Wallet,MERCH_11400,Other,posted
TXN_CARD_A_000002_01_000003,CARD_A_000002_01,****-****-****-7941,A_000002,CREDIT,22035193.22,22035193.22,VND,CR,2025-09-22,CASHBACK,Cash Back,Cash Back from Highlands Coffee,MERCH_89376,Highlands Coffee,posted
TXN_CARD_A_000002_01_000004,CARD_A_000002_01,****-****-****-7941,A_000002,CREDIT,50401858.04,50401858.04,VND,DR,2025-09-23,ONLINE PAYMENT,Payment to Wallet,Payment to Other Wallet,MERCH_56299,Other,posted
TXN_CARD_A_000002_01_000005,CARD_A_000002_01,****-****-****-7941,A_000002,CREDIT,62152166.56,62152166.56,VND,DR,2025-09-29,CASH BY CODE,Cash Dispense (Cardless),Cash Withdrawal at FamilyMart ATM,MERCH_99509,FamilyMart,inactive
TXN_CARD_A_000002_02_000001,CARD_A_000002_02,****-****-****-8956,A_000002,DEBIT,36381268.7,36381268.7,VND,DR,2023-02-04,ONLINE PAYMENT,Payment to Wallet,Payment to Chatime Wallet,MERCH_75540,Chatime,posted
TXN_CARD_A_000002_02_000002,CARD_A_000002_02,****-****-****-8956,A_000002,DEBIT,41597804.91,1039945122.7499999,USD,DR,2024-03-23,ONLINE PAYMENT,Payment to Wallet,Payment to Foody Wallet,MERCH_57027,Foody,posted
TXN_CARD_A_000002_02_000003,CARD_A_000002_02,****-****-****-8956,A_000002,DEBIT,88504451.75,88504451.75,VND,DR,2024-04-09,ONLINE PAYMENT,Payment From Wallet,Payment From Circle K Wallet,MERCH_46160,Circle K,posted
TXN_CARD_A_000002_02_000004,CARD_A_000002_02,****-****-****-8956,A_000002,DEBIT,53041178.55,53041178.55,VND,DR,2025-02-20,ONLINE PAYMENT,Repost Retail,Koi Thé Retail Payment,MERCH_16838,Koi Thé,posted
TXN_CARD_A_000002_02_000005,CARD_A_000002_02,****-****-****-8956,A_000002,DEBIT,74358958.67,74358958.67,VND,DR,2025-03-23,ATM/POS,ATM,ATM Withdrawal at Domino's Pizza,MERCH_96491,Domino's Pizza,posted
TXN_CARD_A_000002_02_000006,CARD_A_000002_02,****-****-****-8956,A_000002,DEBIT,33676722.82,33676722.82,VND,DR,2025-06-30,CASH BY CODE,Cash Dispense (Cardless),Cash Withdrawal at Grab ATM,MERCH_12498,Grab,posted
TXN_CARD_A_000002_02_000007,CARD_A_000002_02,****-****-****-8956,A_000002,DEBIT,29722357.93,891670737.9,EUR,CR,2025-09-20,CASHBACK,Cash Back,Cash Back from Pizza Hut,MERCH_15499,Pizza Hut,posted
TXN_CARD_A_000003_01_000001,CARD_A_000003_01,****-****-****-7748,A_000003,CREDIT,85711479.45,85711479.45,VND,DR,2023-01-03,ATM/POS,ATM 2Prs,ATM Transaction at Other,MERCH_21937,Other,inactive
TXN_CARD_A_000003_01_000002,CARD_A_000003_01,****-****-****-7748,A_000003,CREDIT,85173083.75,85173083.75,VND,DR,2023-07-13,ONLINE PAYMENT,Payment To Repost,Payment To VinMart Repost,MERCH_48128,VinMart,posted
TXN_CARD_A_000003_01_000003,CARD_A_000003_01,****-****-****-7748,A_000003,CREDIT,45803808.92,45803808.92,VND,DR,2024-02-12,ATM/POS,ATM 2Prs,ATM Transaction at Phuc Long,MERCH_84318,Phuc Long,posted
TXN_CARD_A_000003_01_000004,CARD_A_000003_01,****-****-****-7748,A_000003,CREDIT,70016844.37,1750421109.25,USD,CR,2025-09-14,CREDIT,Payment To Credit Card,Credit Card Payment to Pizza Hut,MERCH_46414,Pizza Hut,posted
TXN_CARD_A_000003_02_000001,CARD_A_000003_02,****-****-****-3129,A_000003,CREDIT,26386462.84,791593885.2,EUR,DR,2024-01-20,ONLINE PAYMENT,Payment From Wallet,Payment From Aeon Mall Wallet,MERCH_98078,Aeon Mall,posted
TXN_CARD_A_000003_02_000002,CARD_A_000003_02,****-****-****-3129,A_000003,CREDIT,58131489.95,58131489.95,VND,DR,2024-04-09,CASH BY CODE,Cash Dispense (Cardless),Cash Withdrawal at Other ATM,MERCH_57217,Other,posted
TXN_CARD_A_000003_02_000003,CARD_A_000003_02,****-****-****-3129,A_000003,CREDIT,84896397.82,84896397.82,VND,DR,2024-10-14,ONLINE PAYMENT,Payment From Wallet,Payment From Jollibee Wallet,MERCH_46919,Jollibee,posted
TXN_CARD_A_000003_02_000004,CARD_A_000003_02,****-****-****-3129,A_000003,CREDIT,39875450.35,39875450.35,VND,DR,2025-05-13,ONLINE PAYMENT,Payment To Repost,Payment To Chatime Repost,MERCH_50767,Chatime,posted
TXN_CARD_A_000003_02_000005,CARD_A_000003_02,****-****-****-3129,A_000003,CREDIT,99183348.13,99183348.13,VND,DR,2025-07-02,ATM/POS,ATM 2Prs,ATM Transaction at Tocotoco,MERCH_61933,Tocotoco,posted
TXN_CARD_A_000003_02_000006,CARD_A_000003_02,****-****-****-3129,A_000003,CREDIT,80202726.82,80202726.82,VND,DR,2025-09-01,ONLINE PAYMENT,Payment to Wallet,Payment to Lotte Mart Wallet,MERCH_67617,Lotte Mart,posted
TXN_CARD_A_000003_02_000007,CARD_A_000003_02,****-****-****-3129,A_000003,CREDIT,61047530.02,61047530.02,VND,DR,2025-09-01,ONLINE PAYMENT,Repost Retail,FamilyMart Retail Payment,MERCH_28503,FamilyMart,posted
TXN_CARD_A_000003_03_000001,CARD_A_000003_03,****-****-****-7178,A_000003,CREDIT,31034839.13,31034839.13,VND,DR,2021-05-20,ONLINE PAYMENT,Repost Retail,Phuc Long Retail Payment,MERCH_92468,Phuc Long,posted
TXN_CARD_A_000003_03_000002,CARD_A_000003_03,****-****-****-7178,A_000003,CREDIT,67915242.13,67915242.13,VND,DR,2021-08-30,ONLINE PAYMENT,Payment From Wallet,Payment From Domino's Pizza Wallet,MERCH_83609,Domino's Pizza,posted
TXN_CARD_A_000003_03_000003,CARD_A_000003_03,****-****-****-7178,A_000003,CREDIT,61434737.79,61434737.79,VND,DR,2022-05-13,ONLINE PAYMENT,Repost Retail,VinMart Retail Payment,MERCH_39374,VinMart,posted
TXN_CARD_A_000003_03_000004,CARD_A_000003_03,****-****-****-7178,A_000003,CREDIT,51094136.96,51094136.96,VND,DR,2025-02-15,ONLINE PAYMENT,Payment To Repost,Payment To Chatime Repost,MERCH_95640,Chatime,posted
TXN_CARD_A_000003_03_000005,CARD_A_000003_03,****-****-****-7178,A_000003,CREDIT,58894196.91,58894196.91,VND,DR,2025-09-03,ONLINE PAYMENT,Repost Retail,Foody Retail Payment,MERCH_28193,Foody,posted
TXN_CARD_A_000003_03_000006,CARD_A_000003_03,****-****-****-7178,A_000003,CREDIT,50137074.17,50137074.17,VND,CR,2025-09-29,CREDIT,Payment To Credit Card,Credit Card Payment to Grab,MERCH_36078,Grab,decline service
TXN_CARD_A_000003_04_000001,CARD_A_000003_04,****-****-****-3665,A_000003,CREDIT,42763890.25,42763890.25,VND,DR,2025-09-23,ONLINE PAYMENT,Repost Retail,7-Eleven Retail Payment,MERCH_19783,7-Eleven,posted
TXN_CARD_A_000004_01_000001,CARD_A_000004_01,****-****-****-3577,A_000004,CREDIT,63362712.55,1900881376.5,EUR,DR,2021-07-07,ATM/POS,ATM,ATM Withdrawal at Other,MERCH_35302,Other,posted
TXN_CARD_A_000004_01_000002,CARD_A_000004_01,****-****-****-3577,A_000004,CREDIT,92879247.21,92879247.21,VND,CR,2021-11-14,CASHBACK,Cash Back,Cash Back from Dien May Xanh,MERCH_87796,Dien May Xanh,inactive
TXN_CARD_A_000004_01_000003,CARD_A_000004_01,****-****-****-3577,A_000004,CREDIT,61237763.5,61237763.5,VND,DR,2025-09-03,ONLINE PAYMENT,Repost Retail,Tiki Retail Payment,MERCH_29559,Tiki,posted
TXN_CARD_A_000004_02_000001,CARD_A_000004_02,****-****-****-5502,A_000004,CREDIT,46719388.78,46719388.78,VND,DR,2025-09-01,ONLINE PAYMENT,Repost Retail,Tocotoco Retail Payment,MERCH_51221,Tocotoco,inactive
TXN_CARD_A_000004_02_000002,CARD_A_000004_02,****-****-****-5502,A_000004,CREDIT,55289450.86,1382236271.5,USD,DR,2025-09-09,CASH BY CODE,Cash Dispense (Cardless),Cash Withdrawal at FPT Shop ATM,MERCH_51596,FPT Shop,posted
TXN_CARD_A_000004_02_000003,CARD_A_000004_02,****-****-****-5502,A_000004,CREDIT,41950712.37,41950712.37,VND,DR,2025-09-19,ATM/POS,ATM,ATM Withdrawal at Tiki,MERCH_97672,Tiki,posted
TXN_CARD_A_000004_02_000004,CARD_A_000004_02,****-****-****-5502,A_000004,CREDIT,75415668.0,75415668.0,VND,DR,2025-09-21,ONLINE PAYMENT,Payment to Wallet,Payment to Shopee Wallet,MERCH_38265,Shopee,posted
TXN_CARD_A_000004_02_000005,CARD_A_000004_02,****-****-****-5502,A_000004,CREDIT,42216596.5,42216596.5,VND,DR,2025-09-24,OTHER,Note Acceptance,Note Acceptance at BigC,MERCH_30417,BigC,posted
TXN_CARD_A_000004_02_000006,CARD_A_000004_02,****-****-****-5502,A_000004,CREDIT,83023174.57,83023174.57,VND,DR,2025-09-25,ONLINE PAYMENT,Repost Retail,Lazada Retail Payment,MERCH_68234,Lazada,posted
TXN_CARD_A_000005_01_000001,CARD_A_000005_01,****-****-****-6903,A_000005,CREDIT,86513988.49,2595419654.7,EUR,DR,2024-12-08,ATM/POS,ATM 2Prs,ATM Transaction at The Gioi Di Dong,MERCH_55717,The Gioi Di Dong,posted
TXN_CARD_A_000005_01_000002,CARD_A_000005_01,****-****-****-6903,A_000005,CREDIT,59976998.09,1499424952.25,USD,DR,2025-09-29,ONLINE PAYMENT,Payment to Wallet,Payment to Cong Coffee Wallet,MERCH_24633,Cong Coffee,posted
TXN_CARD_A_000005_02_000001,CARD_A_000005_02,****-****-****-8450,A_000005,CREDIT,95823605.45,95823605.45,VND,CR,2021-04-08,CREDIT,Payment To Credit Card,Credit Card Payment to The Gioi Di Dong,MERCH_21408,The Gioi Di Dong,closed
TXN_CARD_A_000005_02_000002,CARD_A_000005_02,****-****-****-8450,A_000005,CREDIT,22869136.56,22869136.56,VND,DR,2022-12-23,ONLINE PAYMENT,Payment From Wallet,Payment From Grab Wallet,MERCH_52980,Grab,posted
TXN_CARD_A_000005_02_000003,CARD_A_000005_02,****-****-****-8450,A_000005,CREDIT,66666721.48,66666721.48,VND,DR,2023-01-21,ONLINE PAYMENT,Payment From Wallet,Payment From Chatime Wallet,MERCH_43548,Chatime,posted
