card_id,customer_code,card_number,card_type,product_type,issue_date,expire_date,activation_date,credit_limit,available_credit,outstanding_balance,minimum_payment,due_date,interest_rate,card_status
CARD_A_000001_01,A_000001,****-****-****-7756,CREDIT,NOI_DIA,2024-07-12,2027-07-12,2024-07-14,169182915.52984303,39295851.58876555,129887063.94107749,6494353.197053875,2024-08-20,21.17,ACTIVE
CARD_A_000001_02,A_000001,****-****-****-5401,CREDIT,NOI_DIA,2020-09-05,2023-09-05,2020-09-11,111452045.38235909,30548525.37816699,80903520.0041921,4045176.0002096053,2020-10-20,22.19,ACTIVE
CARD_A_000002_01,A_000002,****-****-****-7941,CREDIT,NOI_DIA,2023-07-21,2027-07-20,2023-07-26,170955946.64150873,85726150.0117275,85229796.62978123,4261489.831489062,2023-08-20,19.02,INACTIVE
CARD_A_000002_02,A_000002,****-****-****-8956,DEBIT,NOI_DIA,2020-07-06,2025-07-05,2020-07-12,0.0,0.0,0.0,0.0,2020-08-20,22.37,ACTIVE
CARD_A_000003_01,A_000003,****-****-****-7748,CREDIT,NOI_DIA,2021-06-03,2024-06-02,2021-06-05,184848544.07605332,155088573.90569904,29759970.170354284,1487998.5085177142,2021-07-20,24.97,ACTIVE
CARD_A_000003_02,A_000003,****-****-****-3129,CREDIT,NOI_DIA,2024-01-02,2027-01-01,2024-01-04,191192192.01049772,70983205.55012588,120208986.46037184,6010449.323018592,2024-02-20,24.51,ACTIVE
CARD_A_000003_03,A_000003,****-****-****-7178,CREDIT,QUOC_TE,2021-05-10,2026-05-09,2021-05-17,169639581.2631645,76470562.56445672,93169018.69870777,4658450.934935389,2021-06-20,19.52,ACTIVE
CARD_A_000003_04,A_000003,****-****-****-3665,CREDIT,QUOC_TE,2022-09-08,2026-09-07,2022-09-19,103580245.94036666,59590057.181505,43990188.75886165,2199509.437943083,2022-10-20,23.02,ACTIVE
CARD_A_000004_01,A_000004,****-****-****-3577,CREDIT,QUOC_TE,2020-05-09,2024-05-08,2020-05-12,149139971.703249,129751504.19457988,19388467.508669127,969423.3754334564,2020-06-20,22.64,ACTIVE
CARD_A_000004_02,A_000004,****-****-****-5502,CREDIT,QUOC_TE,2024-12-24,2029-12-23,2025-01-08,155940990.95740205,82893577.0391757,73047413.91822635,3652370.6959113176,2025-01-20,20.89,ACTIVE
