card_id,customer_code,card_number,card_type,product_type,issue_date,expire_date,activation_date,credit_limit,available_credit,outstanding_balance,minimum_payment,due_date,interest_rate,card_status
CARD_A_000001_01,A_000001,****-****-****-4829,CREDIT,QUOC_TE,2021-02-07,2024-02-07,2021-02-26,175703361.4984285,111805122.60977948,63898238.88864901,3194911.9444324505,2021-03-20,21.05,ACTIVE
CARD_A_000001_02,A_000001,****-****-****-2374,CREDIT,QUOC_TE,2020-07-31,2025-07-30,2020-08-05,171914740.13159978,126170265.4444699,45744474.687129885,2287223.734356494,2020-08-20,19.08,CLOSED
CARD_A_000001_03,A_000001,****-****-****-6284,CREDIT,QUOC_TE,2021-02-06,2025-02-05,2021-03-01,152605940.82695878,105877189.6442932,46728751.18266557,2336437.5591332787,2021-03-20,22.79,ACTIVE
CARD_A_000001_04,A_000001,****-****-****-4856,CREDIT,QUOC_TE,2024-11-21,2028-11-20,2024-11-22,196331642.27596897,53409248.75903991,142922393.51692906,7146119.675846454,2024-12-20,22.69,ACTIVE
CARD_A_000002_01,A_000002,****-****-****-6733,CREDIT,NOI_DIA,2020-11-26,2025-11-25,2020-12-02,181825296.8539951,47551978.23716679,134273318.61682832,6713665.930841416,2020-12-20,22.32,ACTIVE
CARD_A_000002_02,A_000002,****-****-****-1664,CREDIT,NOI_DIA,2023-01-17,2028-01-16,2023-01-19,160890426.02640158,97694504.8969382,63195921.129463375,3159796.056473169,2023-02-20,24.54,ACTIVE
CARD_A_000002_03,A_000002,****-****-****-8738,DEBIT,NOI_DIA,2020-10-29,2024-10-28,2020-11-12,0.0,0.0,0.0,0.0,2020-11-20,19.28,ACTIVE
CARD_A_000003_01,A_000003,****-****-****-5216,CREDIT,QUOC_TE,2024-08-19,2028-08-18,2024-08-21,158400012.9637308,140094549.86678627,18305463.09694455,915273.1548472275,2024-09-20,19.16,ACTIVE
CARD_A_000003_02,A_000003,****-****-****-6124,CREDIT,QUOC_TE,2023-05-02,2026-05-01,2023-05-05,147007450.73446172,61026318.30959919,85981132.42486253,4299056.621243127,2023-06-20,21.2,ACTIVE
CARD_A_000003_03,A_000003,****-****-****-7622,CREDIT,QUOC_TE,2023-10-13,2028-10-11,2023-10-20,153899542.06230152,67990540.66884395,85909001.39345756,4295450.069672878,2023-11-20,20.41,ACTIVE
CARD_A_000004_01,A_000004,****-****-****-5075,CREDIT,NOI_DIA,2020-08-26,2025-08-25,2020-08-29,127741409.66185407,69615853.22200605,58125556.43984803,2906277.8219924015,2020-09-20,24.81,ACTIVE
CARD_A_000004_02,A_000004,****-****-****-8303,DEBIT,QUOC_TE,2024-08-08,2029-08-07,2024-08-12,0.0,0.0,0.0,0.0,2024-09-20,24.98,ACTIVE
CARD_A_000005_01,A_000005,****-****-****-4751,CREDIT,QUOC_TE,2020-02-02,2024-02-01,2020-02-20,182791567.53901187,99188239.68247315,83603327.85653871,4180166.3928269357,2020-03-20,20.97,ACTIVE
CARD_A_000005_02,A_000005,****-****-****-1079,CREDIT,QUOC_TE,2020-07-14,2024-07-13,,118855726.90969108,47234869.54792638,71620857.3617647,3581042.868088235,2020-08-20,21.43,INACTIVE
CARD_A_000005_03,A_000005,****-****-****-3540,CREDIT,NOI_DIA,2023-02-19,2028-02-18,,174649786.06829754,129201742.19847947,45448043.86981807,2272402.1934909034,2023-03-20,20.12,ACTIVE
CARD_A_000005_04,A_000005,****-****-****-3765,CREDIT,QUOC_TE,2020-12-19,2023-12-19,2020-12-25,103194396.67394362,34612209.52945985,68582187.14448377,3429109.3572241887,2021-01-20,18.49,ACTIVE
CARD_A_000006_01,A_000006,****-****-****-2874,CREDIT,QUOC_TE,2022-09-11,2027-09-10,2022-09-26,149529714.5895767,56114293.808245316,93415420.78133138,4670771.039066569,2022-10-20,24.99,ACTIVE
CARD_A_000006_02,A_000006,****-****-****-9120,CREDIT,QUOC_TE,2022-03-24,2026-03-23,2022-03-30,109636361.78810254,91228194.35836735,18408167.42973518,920408.371486759,2022-04-20,24.45,ACTIVE
CARD_A_000006_03,A_000006,****-****-****-3200,CREDIT,NOI_DIA,2024-10-21,2027-10-21,2024-10-23,158318343.59004712,127758993.86744374,30559349.722603373,1527967.4861301687,2024-11-20,20.03,ACTIVE
CARD_A_000007_01,A_000007,****-****-****-6987,CREDIT,QUOC_TE,2020-02-26,2025-02-24,2020-02-27,181601364.95301306,135844192.68037102,45757172.27264204,2287858.613632102,2020-03-20,18.06,ACTIVE
CARD_A_000007_02,A_000007,****-****-****-7547,CREDIT,QUOC_TE,2022-07-08,2025-07-07,2022-07-13,130755780.71085356,29772833.249969333,100982947.46088423,5049147.373044211,2022-08-20,22.89,ACTIVE
CARD_A_000007_03,A_000007,****-****-****-5564,DEBIT,QUOC_TE,2021-06-04,2026-06-03,2021-06-06,0.0,0.0,0.0,0.0,2021-07-20,23.57,ACTIVE
CARD_A_000007_04,A_000007,****-****-****-4779,CREDIT,QUOC_TE,2022-05-26,2026-05-25,2022-05-31,183916042.2005822,143459122.6852665,40456919.51531572,2022845.9757657861,2022-06-20,19.61,ACTIVE
CARD_A_000008_01,A_000008,****-****-****-9208,DEBIT,QUOC_TE,2021-06-03,2025-06-02,2021-06-29,0.0,0.0,0.0,0.0,2021-07-20,24.11,ACTIVE
CARD_A_000008_02,A_000008,****-****-****-8656,DEBIT,NOI_DIA,2022-12-30,2025-12-29,2023-01-06,0.0,0.0,0.0,0.0,2023-01-20,19.56,ACTIVE
CARD_A_000008_03,A_000008,****-****-****-4565,CREDIT,QUOC_TE,2021-12-30,2024-12-29,2022-01-05,170918669.90176645,57053941.043672696,113864728.85809375,5693236.442904688,2022-01-20,21.95,ACTIVE
CARD_A_000008_04,A_000008,****-****-****-6268,CREDIT,NOI_DIA,2024-03-10,2029-03-09,2024-03-16,144601385.53417927,109027714.58617713,35573670.948002145,1778683.5474001074,2024-04-20,22.77,ACTIVE
CARD_A_000009_01,A_000009,****-****-****-5340,DEBIT,QUOC_TE,2024-06-30,2029-06-29,2024-07-03,0.0,0.0,0.0,0.0,2024-07-20,18.95,ACTIVE
CARD_A_000009_02,A_000009,****-****-****-7137,CREDIT,NOI_DIA,2022-05-31,2025-05-30,2022-06-03,136320437.2508358,111079463.02145366,25240974.229382146,1262048.7114691073,2022-06-20,20.31,ACTIVE
CARD_A_000009_03,A_000009,****-****-****-1305,CREDIT,QUOC_TE,2020-08-22,2024-08-21,,172230707.97535875,45498281.432289556,126732426.5430692,6336621.32715346,2020-09-20,23.92,ACTIVE
CARD_A_000010_01,A_000010,****-****-****-1346,CREDIT,QUOC_TE,2023-08-13,2028-08-11,2023-08-16,123423568.72455496,77485416.86541858,45938151.859136365,2296907.592956818,2023-09-20,19.72,BLOCKED
CARD_A_000010_02,A_000010,****-****-****-5752,CREDIT,QUOC_TE,2020-08-02,2023-08-02,2020-08-06,197318329.38965964,149220391.72316766,48097937.66649197,2404896.8833245984,2020-09-20,23.6,EXPIRED
CARD_A_000010_03,A_000010,****-****-****-6282,CREDIT,QUOC_TE,2020-06-09,2023-06-09,2020-06-12,168567576.4039593,141736203.248846,26831373.155113295,1341568.6577556648,2020-07-20,23.24,ACTIVE
CARD_A_000011_01,A_000011,****-****-****-9074,DEBIT,QUOC_TE,2023-01-05,2027-01-04,2023-01-08,0.0,0.0,0.0,0.0,2023-02-20,22.3,ACTIVE
CARD_A_000011_02,A_000011,****-****-****-5283,CREDIT,QUOC_TE,2020-09-26,2023-09-26,2020-09-29,172916496.32497188,93965184.57062747,78951311.75434442,3947565.587717221,2020-10-20,24.02,ACTIVE
CARD_A_000011_03,A_000011,****-****-****-2789,CREDIT,QUOC_TE,2024-01-14,2028-01-13,2024-01-15,120058371.80249353,38255022.434077725,81803349.3684158,4090167.4684207905,2024-02-20,20.27,ACTIVE
CARD_A_000011_04,A_000011,****-****-****-7829,CREDIT,QUOC_TE,2022-05-31,2027-05-30,2022-06-26,119823291.50985813,55354717.205853365,64468574.304004766,3223428.7152002384,2022-06-20,20.71,ACTIVE
CARD_A_000012_01,A_000012,****-****-****-8244,DEBIT,QUOC_TE,2021-09-26,2024-09-25,2021-10-03,0.0,0.0,0.0,0.0,2021-10-20,18.12,ACTIVE
CARD_A_000012_02,A_000012,****-****-****-1532,CREDIT,NOI_DIA,2020-10-01,2023-10-01,2020-10-08,197525612.6300044,57177266.44498402,140348346.1850204,7017417.30925102,2020-11-20,24.18,EXPIRED
CARD_A_000012_03,A_000012,****-****-****-5525,CREDIT,QUOC_TE,2020-02-04,2024-02-03,2020-02-05,112904484.9492608,64343306.84656885,48561178.10269195,2428058.9051345973,2020-03-20,21.16,ACTIVE
