customer_code,full_name,gender,dob,city,marital_status,nationality,occupation,income_range,income_currency,source_of_income,status,customer_segment
X_000001,Đỗ Thị Hùng,Nữ,1980-10-09 23:42:06.204042,Phú Yên,Độc thân,Việt Nam,Quản lý / chuyên gia,>50 triệu,VND,Kinh doanh,Inactive,X
X_000002,Vũ Thị Hoa,Nữ,1975-10-11 23:42:06.204042,Khánh Hòa,Kết hôn,Việt Nam,Kinh doanh cá thể,>50 triệu,VND,Kinh doanh,Active,X
X_000003,Lê Thị Hương,Nữ,1986-10-08 23:42:06.204042,Quảng Ninh,Độc thân,Việt Nam,Kinh doanh cá thể,>50 triệu,VND,Kinh doanh,Active,X
X_000004,Nguyễn Thị An,Nữ,1987-10-08 23:42:06.204042,Nghệ An,Độc thân,Việt Nam,Quản lý / chuyên gia,>50 triệu,VND,Kinh doanh,Active,X
X_000005,Lưu Thị Sơn,Nữ,1990-10-07 23:42:06.204042,Bà Rịa - Vũng Tàu,Kết hôn,Việt Nam,Quản lý / chuyên gia,20-50 triệu,VND,Đầu tư,Active,X
X_000006,Tôn Thị Rồng,Nữ,1979-10-10 23:42:06.204042,Thái Bình,Kết hôn,Việt Nam,Quản lý / chuyên gia,>50 triệu,USD,Đầu tư,Active,X
X_000007,Lương Văn Uy,Nam,1991-10-07 23:42:06.204042,Thái Bình,Kết hôn,Việt Nam,Quản lý / chuyên gia,20-50 triệu,VND,Kinh doanh,Closed,X
X_000008,Bùi Văn Hải,Nam,1988-10-07 23:42:06.205024,Kon Tum,Độc thân,Việt Nam,Kinh doanh cá thể,>50 triệu,VND,Đầu tư,Active,X
X_000009,Đặng Thị Giang,Nữ,1972-10-11 23:42:06.205024,Tây Ninh,Độc thân,Việt Nam,Quản lý / chuyên gia,20-50 triệu,VND,Kinh doanh,Active,X
X_000010,Chu Thị Tài,Nữ,1991-10-07 23:42:06.205024,Ninh Bình,Độc thân,Việt Nam,Kinh doanh cá thể,>50 triệu,VND,Lương,Active,X
X_000011,Nguyễn Thị An,Nữ,1973-10-11 23:42:06.205024,Bà Rịa - Vũng Tàu,Độc thân,Việt Nam,Kinh doanh cá thể,>50 triệu,VND,Lương,Active,X
X_000012,Hoàng Văn Em,Nam,1975-10-11 23:42:06.205024,Hưng Yên,Kết hôn,Việt Nam,Quản lý / chuyên gia,>50 triệu,VND,Đầu tư,Inactive,X
X_000013,Lê Thị Cường,Nữ,1985-10-08 23:42:06.205024,Quảng Ninh,Độc thân,Việt Nam,Quản lý / chuyên gia,>50 triệu,VND,Lương,Inactive,X
X_000014,Dương Văn Minh,Nam,1998-10-05 23:42:06.205024,Thanh Hóa,Độc thân,Việt Nam,Kinh doanh cá thể,>50 triệu,VND,Lương,Active,X
X_000015,Đinh Thị Quang,Nữ,1989-10-07 23:42:06.205024,Nam Định,Kết hôn,Việt Nam,Quản lý / chuyên gia,20-50 triệu,VND,Lương,Active,X
X_000016,Lê Thị Cường,Nữ,1971-10-12 23:42:06.205024,Thanh Hóa,Độc thân,Việt Nam,Quản lý / chuyên gia,20-50 triệu,VND,Kinh doanh,Inactive,X
X_000017,Lý Thị Nam,Nữ,1977-10-10 23:42:06.205024,Đồng Tháp,Độc thân,Việt Nam,Kinh doanh cá thể,>50 triệu,VND,Kinh doanh,Active,X
